trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.99, 'e': 0.8985256729903055}",20,13,15.07493002603468,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.99, 'e': 0.8976275964304349}",30,14,2.9578133104522744,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.99, 'e': 0.8967304174982355}",20,4,24.326648068628742,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.99, 'e': 0.8958341352965282}",25,7,32.31864245421144,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.99, 'e': 0.894938748929031}",30,12,33.26273117990398,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.99, 'e': 0.8940442575003572}",25,7,18.261341513226668,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.99, 'e': 0.8931506601160155}",20,4,25.422084626727308,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.99, 'e': 0.8922579558824083}",30,0,38.50692289383942,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.99, 'e': 0.8913661439068313}",25,14,15.18316818629205,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.99, 'e': 0.8904752232974726}",20,0,21.28269224659365,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.99, 'e': 0.8895851931634113}",20,3,25.341690823404672,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.99, 'e': 0.8886960526146174}",25,8,27.325741673246092,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.99, 'e': 0.8878078007619501}",25,8,-11.872591311985062,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.99, 'e': 0.8869204367171575}",20,6,3.939213936508125,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.99, 'e': 0.8860339595928756}",20,0,31.593500179380168,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.99, 'e': 0.8851483685026271}",30,13,20.59292760738778,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.99, 'e': 0.8842636625608209}",30,14,11.12854642506787,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.99, 'e': 0.8833798408827509}",25,2,35.25779166650064,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.99, 'e': 0.8824969025845955}",20,8,20.93102915777588,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.99, 'e': 0.8816148467834161}",20,13,14.583061715781174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.99, 'e': 0.880733672597157}",20,2,30.591859964462376,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.99, 'e': 0.8798533791446438}",20,0,-25.692992607477738,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
129,False,"{'a': 0.99, 'e': 0.8789739655455832}",25,14,18.705820022957134,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.99, 'e': 0.8780954309205613}",20,0,-15.946207974742101,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
131,False,"{'a': 0.99, 'e': 0.8772177743910435}",20,16,5.84274322067726,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.99, 'e': 0.8763409950793732}",30,15,20.525569664938278,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.99, 'e': 0.8754650921087711}",20,13,12.988601001187476,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.99, 'e': 0.874590064603334}",20,3,26.620547983714708,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.99, 'e': 0.8737159116880344}",20,6,25.88077115891918,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.99, 'e': 0.8728426324887193}",25,4,9.939010654610552,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.99, 'e': 0.8719702261321094}",20,5,25.005653212213474,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
